Filename, SR, Average Success Time, Average Execution Time
GEOM20, 20/20,0.02,0.36
GEOM40, 20/20,0.03,0.65
GEOM20b, 20/20,0.04,0.75
GEOM30, 20/20,0.03,0.52
GEOM60, 20/20,0.31,6.24
GEOM20a, 20/20,0.21,4.29
GEOM30a, 20/20,0.87,17.47
GEOM30b, 20/20,0.03,0.61
GEOM40b, 20/20,1.87,37.36
GEOM40a, 20/20,1.65,32.98
GEOM50, 20/20,0.05,1.06
GEOM50a, 20/20,4.09,81.75
GEOM80, 20/20,4.16,83.18
GEOM60a, 20/20,6.79,135.82
GEOM100, 20/20,7.77,155.48
GEOM110, 20/20,13.56,271.26
GEOM50b, 20/20,9.44,188.79
GEOM80a, 20/20,18.7,373.93
GEOM70a, 20/20,33.09,661.74
GEOM80b, 20/20,47.2,944.04
GEOM90, 20/20,1.46,29.29
GEOM90a, 20/20,55.37,1107.43
GEOM60b, 18/20,52.78,1261.52
GEOM70, 20/20,0.56,11.23
GEOM70b, 11/20,83.69,2342.11
GEOM90b, 2/20,127.17,4209.58
GEOM100a, 5/20,178.05,5205.34
GEOM100b, 0/20, -, -
GEOM120a, 1/20,120.35,6685.57
GEOM110b, 0/20, -, -
GEOM120, 20/20,6.84,136.78
GEOM110a, 2/20,254.89,7616.63
GEOM120b, 1/20,92.15,5666.5
,,,
,,,
Total Execution Time:,12357.237977 seconds,,
